"lat","lng","name","note"
47.366945,8.545468,"Zürich, Bellevue",882
47.369564,8.54347,"Zürich, Helmhaus",748
47.371847,8.542723,"Zürich, Rathaus",743
47.37648,8.543587,"Zürich, Central",738
47.373754,8.542749,"Zürich, Rudolf-Brun-Brücke",737
47.37738,8.541672,"Zürich, Bahnhofquai/HB",702
47.37989,8.542532,"Zürich, Stampfenbachplatz",684
47.378063,8.541673,"Zürich, Bahnhofquai/HB",485
47.377083,8.539772,"Zürich, Bahnhofplatz/HB",469
47.380108,8.537636,"Zürich, Sihlquai/HB",465
47.382339,8.534742,"Zürich, Museum für Gestaltung",464
47.376341,8.534566,"Zürich, Sihlpost / HB",461
47.376079,8.53746,"Zürich, Löwenplatz",459
47.392104,8.494542,"Zürich, Würzgraben",457
47.384799,8.531495,"Zürich, Limmatplatz",457
47.392043,8.49057,"Zürich, Bahnhof Altstetten N",453
47.386922,8.528585,"Zürich, Quellenstrasse",452
47.369564,8.54347,"Zürich, Helmhaus",452
47.392106,8.502185,"Zürich, Aargauerstrasse",452
47.388585,8.525838,"Zürich, Löwenbräu",452
